,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
3196,Colorado,US,2021-02-27 05:30:48,39.0598,-105.3111,1521,15,15,,8.0,7400.894918607139,6159303.0,,1.3937184125688058,84000008.0,USA,106955.81460931704,
3197,Connecticut,US,2021-02-27 05:30:48,41.5978,-72.7554,787,8,8,,9.0,7851.990597110415,6299277.0,,2.7226679431033127,84000009.0,USA,176683.588165553,
3198,Delaware,US,2021-02-27 05:30:48,39.3185,-75.5071,297,12,12,,10.0,8841.772749865471,1377802.0,,1.646960440428349,84000010.0,USA,141492.39446108093,
3199,Diamond Princess,US,2021-02-27 05:30:48,,,0,0,0,,88888.0,,,,0.0,84088888.0,USA,,
3200,District of Columbia,US,2021-02-27 05:30:48,38.8974,-77.0268,162,4,4,10518.0,11.0,5707.978332239933,1215331.0,,2.504716512759408,84000011.0,USA,172204.42395242502,
3201,Florida,US,2021-02-27 05:30:48,27.7663,-81.6868,5922,146,146,,12.0,8838.095931615142,23072390.0,,1.6132983321769887,84000012.0,USA,107424.67886630699,
3202,Georgia,US,2021-02-27 05:30:48,33.0406,-83.6431,3434,20,20,,13.0,9426.223293543077,7153524.0,,1.7204857607047008,84000013.0,USA,67375.3320367852,
3203,Grand Princess,US,2021-02-27 05:30:48,,,0,0,0,,99999.0,,,,2.9126213592233015,84099999.0,USA,,
3204,Guam,US,2021-02-27 05:30:48,13.4443,144.7937,5,0,0,40.0,66.0,4709.2778985441055,117601.0,,1.6808895784846134,316.0,GUM,71607.93769675269,
3205,Hawaii,US,2021-02-27 05:30:48,21.0943,-157.4983,115,2,2,,15.0,1994.459951182028,1085483.0,,1.5475052232727788,84000015.0,USA,76665.33415449984,
3206,Idaho,US,2021-02-27 05:30:48,44.2405,-114.4788,312,9,9,75369.0,16.0,9563.558124634526,636533.0,,1.0877260732445129,84000016.0,USA,35618.905859607796,
3207,Illinois,US,2021-02-27 05:30:48,40.3495,-88.9861,2441,68,68,,17.0,9340.938449177904,17988085.0,,1.915657021780619,84000017.0,USA,141953.43352782525,
3208,Indiana,US,2021-02-27 05:30:48,39.8494,-86.2583,944,37,37,,18.0,9804.657275706568,7942952.0,,1.898432138360873,84000018.0,USA,117984.15945767658,
3209,Iowa,US,2021-02-27 05:30:48,42.0115,-93.2105,611,25,25,16621.0,19.0,10644.93022341818,1310419.0,,1.6265948102603802,84000019.0,USA,41533.75360927016,
3210,Kansas,US,2021-02-27 05:30:48,38.5266,-96.7265,782,11,11,,20.0,10160.14751585308,1254463.0,,1.5979891688091434,84000020.0,USA,43059.65645996278,
3211,Kentucky,US,2021-02-27 05:30:48,37.6681,-84.6701,1176,30,30,350935.0,21.0,9018.699443759648,3891701.0,,1.1416488387445831,84000021.0,USA,87108.00902393708,
3212,Louisiana,US,2021-02-27 05:30:48,31.1695,-91.8678,903,26,26,10542.0,22.0,9219.423360123075,5544678.0,,2.2368592974203905,84000022.0,USA,119271.32069091467,
3213,Maine,US,2021-02-27 05:30:48,44.6939,-69.3819,178,0,0,30801.0,23.0,3295.313536852818,1619762.0,,1.5825356691349106,84000023.0,USA,120498.99866985268,
3214,Maryland,US,2021-02-27 05:30:48,39.0639,-76.8021,970,33,33,362955.0,24.0,6292.6916409733885,7804095.0,,2.0602676928576686,84000024.0,USA,129085.47921821865,
3215,Massachusetts,US,2021-02-27 05:30:48,42.2302,-71.5301,1987,46,46,67216.0,25.0,8385.63291158524,15997259.0,,2.772414270389979,84000025.0,USA,232096.51123837012,
3216,Michigan,US,2021-02-27 05:30:48,43.3266,-84.5361,1257,2,2,98607.0,26.0,6449.726876033172,10253237.0,,2.551989132544149,84000026.0,USA,102667.3056398024,
3217,Minnesota,US,2021-02-27 05:30:48,45.6945,-93.9002,1147,12,12,7299.0,27.0,8563.998502029921,6866911.0,,1.3520284567827106,84000027.0,USA,121761.6858688652,
3218,Mississippi,US,2021-02-27 05:30:48,32.7416,-89.6787,731,25,25,13467.0,28.0,9863.148652839624,1729728.0,,2.2613459062076298,84000028.0,USA,58119.67075573166,
3219,Missouri,US,2021-02-27 05:30:48,38.4561,-92.2884,706,15,15,,29.0,9156.718416900367,4459175.0,,1.4715642888536569,84000029.0,USA,72655.43481732089,
3220,Montana,US,2021-02-27 05:30:48,46.9219,-110.4544,168,4,4,1897.0,30.0,9320.270439698425,1074221.0,,1.3592603375061487,84000030.0,USA,100509.27320734519,
3221,Nebraska,US,2021-02-27 05:30:48,41.1254,-98.2681,284,15,15,44432.0,31.0,10362.188328418824,2356795.0,,1.036683013464906,84000031.0,USA,121835.46594100105,
3222,Nevada,US,2021-02-27 05:30:48,38.3135,-117.0554,399,9,9,,32.0,9513.446721529688,2702912.0,,1.6865224943606263,84000032.0,USA,87752.43851285454,
3223,New Hampshire,US,2021-02-27 05:30:48,43.4525,-71.5639,325,4,4,3179.0,33.0,5508.008687140135,1436668.0,,1.5582230649059323,84000033.0,USA,105659.80564987707,
3224,New Jersey,US,2021-02-27 05:30:48,40.2989,-74.521,3870,45,45,,34.0,8813.513333986326,10590500.0,,2.9625731158497413,84000034.0,USA,119232.9819560266,
3225,New Mexico,US,2021-02-27 05:30:48,34.8405,-106.2485,656,14,14,39218.0,35.0,8810.255867312022,2669565.0,,1.9947384375541315,84000035.0,USA,127314.38758239227,
3226,New York,US,2021-02-27 05:30:48,42.1657,-74.9481,8074,125,125,,36.0,8368.637495212317,37547888.0,,2.8986522096464493,84000036.0,USA,193012.9296122185,
3227,North Carolina,US,2021-02-27 05:30:48,35.6301,-79.8064,2924,49,49,,37.0,8160.737461675555,10259167.0,,1.3069207447088171,84000037.0,USA,97817.36111190566,
3228,North Dakota,US,2021-02-27 05:30:48,47.5289,-99.78399999999999,90,1,1,677.0,38.0,13084.368463458351,1407119.0,,1.4762664099246825,84000038.0,USA,184646.26237760184,
3229,Northern Mariana Islands,US,2021-02-27 05:30:48,15.0979,145.6739,0,0,0,112.0,69.0,259.3210503409256,17572.0,,1.3986013986013983,580.0,MNP,31865.660815319887,
3230,Ohio,US,2021-02-27 05:30:48,40.3888,-82.7649,1976,31,31,41472.0,39.0,8250.250233123166,9940287.0,,1.9326406603206203,84000039.0,USA,85038.94226244964,
3231,Oklahoma,US,2021-02-27 05:30:48,35.5653,-96.9289,871,18,18,14375.0,40.0,10716.833658876954,3501011.0,,1.0187189609066598,84000040.0,USA,88477.04468898053,
3232,Oregon,US,2021-02-27 05:30:48,44.571999999999996,-122.0709,324,2,2,,41.0,3672.0639527784692,3546317.0,,1.424346905306112,84000041.0,USA,84081.03682140446,
3233,Pennsylvania,US,2021-02-27 05:30:48,40.5908,-77.2098,3418,58,58,76705.0,42.0,7298.303412071357,10313734.0,,2.560235805841204,84000042.0,USA,80563.52805802286,
3234,Puerto Rico,US,2021-02-27 05:30:48,18.2208,-66.5901,241,7,7,7346.0,72.0,3126.786724088156,1699838.0,,2.0258361706388945,630.0,PRI,53224.823668141034,
3235,Rhode Island,US,2021-02-27 05:30:48,41.6809,-71.5118,437,0,0,,44.0,11858.280605006226,2968641.0,,1.9916893537756128,84000044.0,USA,280229.4024416606,
3236,South Carolina,US,2021-02-27 05:30:48,33.8569,-80.945,1749,34,34,274025.0,45.0,9969.382645841271,4966441.0,,1.6514869616886976,84000045.0,USA,96459.8344363272,
3237,South Dakota,US,2021-02-27 05:30:48,44.2998,-99.4388,143,7,7,1944.0,46.0,12672.340415911667,421288.0,,1.6760773189898936,84000046.0,USA,47621.512921928115,
3238,Tennessee,US,2021-02-27 05:30:48,35.7478,-86.6923,1573,56,56,14182.0,47.0,11311.953685760533,6878643.0,,1.4727260253225511,84000047.0,USA,100724.37750158363,
3239,Texas,US,2021-02-27 05:30:48,31.0545,-97.5635,10797,291,291,206519.0,48.0,9116.684538745349,19426513.0,,1.6408778938838942,84000048.0,USA,66997.4918161652,
3240,Utah,US,2021-02-27 05:30:48,40.15,-111.8624,651,17,17,17979.0,49.0,11543.632199798001,2838991.0,,0.5152884210071227,84000049.0,USA,88553.59302897919,
3241,Vermont,US,2021-02-27 05:30:48,44.0459,-72.7107,123,1,1,2473.0,50.0,2397.958938378721,1049205.0,,1.3633629619728664,84000050.0,USA,168144.79101394414,
3242,Virgin Islands,US,2021-02-27 05:30:48,18.3358,-64.8963,0,0,0,110.0,78.0,2457.396427639184,47710.0,,0.9484066767830044,850.0,VIR,44477.383749114364,
