,Province_State,Confirmed,Deaths,Recovered,Lat,Long_
1799,Alaska,139,17,17,61.3707,-152.4044
1800,American Samoa,0,0,0,-14.270999999999999,-170.132
1801,Arizona,2938,238,238,33.7298,-111.4312
1802,Arkansas,1510,44,44,34.9697,-92.3731
1803,California,12146,561,561,36.1162,-119.6816
1804,Colorado,936,9,9,39.0598,-105.3111
1805,Connecticut,2568,14,14,41.5978,-72.7554
1806,Delaware,201,8,8,39.3185,-75.5071
1807,Diamond Princess,0,0,0,,
1808,District of Columbia,0,0,0,38.8974,-77.0268
1809,Florida,10533,137,137,27.7663,-81.6868
1810,Georgia,4961,208,208,33.0406,-83.6431
1811,Grand Princess,0,0,0,,
1812,Guam,2,0,0,13.4443,144.7937
1813,Hawaii,42,0,0,21.0943,-157.4983
1814,Idaho,491,6,6,44.2405,-114.4788
1815,Illinois,2304,63,63,40.3495,-88.9861
1816,Indiana,1512,40,40,39.8494,-86.2583
1817,Iowa,1087,13,13,42.0115,-93.2105
1818,Kansas,147,0,0,38.5266,-96.7265
1819,Kentucky,2431,32,32,37.6681,-84.6701
1820,Louisiana,2603,41,41,31.1695,-91.8678
1821,Maine,417,23,23,44.6939,-69.3819
1822,Maryland,905,34,34,39.0639,-76.8021
1823,Massachusetts,2239,45,45,42.2302,-71.5301
1824,Michigan,1433,73,73,43.3266,-84.5361
1825,Minnesota,604,8,8,45.6945,-93.9002
1826,Mississippi,825,76,76,32.7416,-89.6787
1827,Missouri,1782,266,266,38.4561,-92.2884
1828,Montana,314,15,15,46.9219,-110.4544
1829,Nebraska,487,9,9,41.1254,-98.2681
1830,Nevada,811,46,46,38.3135,-117.0554
1831,New Hampshire,367,0,0,43.4525,-71.5639
1832,New Jersey,3150,71,71,40.2989,-74.521
1833,New Mexico,432,15,15,34.8405,-106.2485
1834,New York,7949,171,171,42.1657,-74.9481
1835,North Carolina,2926,67,67,35.6301,-79.8064
1836,North Dakota,117,0,0,47.5289,-99.78399999999999
1837,Northern Mariana Islands,0,0,0,15.0979,145.6739
1838,Ohio,3657,76,76,40.3888,-82.7649
1839,Oklahoma,1312,38,38,35.5653,-96.9289
1840,Oregon,605,23,23,44.571999999999996,-122.0709
1841,Pennsylvania,3753,125,125,40.5908,-77.2098
1842,Puerto Rico,288,10,10,18.2208,-66.5901
1843,Rhode Island,235,14,14,41.6809,-71.5118
1844,South Carolina,1988,35,35,33.8569,-80.945
1845,South Dakota,116,1,1,44.2998,-99.4388
1846,Tennessee,2173,147,147,35.7478,-86.6923
1847,Texas,19060,374,374,31.0545,-97.5635
1848,Utah,1201,17,17,40.15,-111.8624
1849,Vermont,113,1,1,44.0459,-72.7107
1850,Virgin Islands,5,0,0,18.3358,-64.8963
1851,Virginia,2740,43,43,37.7693,-78.17
1852,Washington,1357,-2,-2,47.4009,-121.4905
1853,West Virginia,510,3,3,38.4912,-80.9545
1854,Wisconsin,1296,44,44,44.2685,-89.6165
1855,Wyoming,71,28,28,42.756,-107.3025
1856,Alabama,2118,309,309,32.3182,-86.9023
1857,Alaska,224,0,0,61.3707,-152.4044
1858,American Samoa,0,0,0,-14.270999999999999,-170.132
1859,Arizona,2296,214,214,33.7298,-111.4312
1860,Arkansas,2426,46,46,34.9697,-92.3731
1861,California,13958,618,618,36.1162,-119.6816
1862,Colorado,1230,14,14,39.0598,-105.3111
1863,Connecticut,482,24,24,41.5978,-72.7554
1864,Delaware,286,2,2,39.3185,-75.5071
1865,Diamond Princess,0,0,0,,
1866,District of Columbia,191,10,10,38.8974,-77.0268
1867,Florida,6979,197,197,27.7663,-81.6868
1868,Georgia,4924,137,137,33.0406,-83.6431
1869,Grand Princess,0,0,0,,
1870,Guam,8,0,0,13.4443,144.7937
1871,Hawaii,80,4,4,21.0943,-157.4983
1872,Idaho,507,7,7,44.2405,-114.4788
1873,Illinois,3314,84,84,40.3495,-88.9861
1874,Indiana,1428,37,37,39.8494,-86.2583
1875,Iowa,1034,56,56,42.0115,-93.2105
1876,Kansas,2167,75,75,38.5266,-96.7265
1877,Kentucky,2581,51,51,37.6681,-84.6701
1878,Louisiana,2041,53,53,31.1695,-91.8678
1879,Maine,273,9,9,44.6939,-69.3819
1880,Maryland,942,32,32,39.0639,-76.8021
1881,Massachusetts,2455,56,56,42.2302,-71.5301
1882,Michigan,1717,35,35,43.3266,-84.5361
1883,Minnesota,634,24,24,45.6945,-93.9002
1884,Mississippi,791,26,26,32.7416,-89.6787
1885,Missouri,1628,75,75,38.4561,-92.2884
1886,Montana,426,54,54,46.9219,-110.4544
1887,Nebraska,605,2,2,41.1254,-98.2681
1888,Nevada,750,49,49,38.3135,-117.0554
1889,New Hampshire,385,17,17,43.4525,-71.5639
1890,New Jersey,2311,109,109,40.2989,-74.521
1891,New Mexico,670,28,28,34.8405,-106.2485
1892,New York,7154,166,166,42.1657,-74.9481
1893,North Carolina,12079,169,169,35.6301,-79.8064
1894,North Dakota,139,0,0,47.5289,-99.78399999999999
1895,Northern Mariana Islands,0,0,0,15.0979,145.6739
1896,Ohio,3991,84,84,40.3888,-82.7649
1897,Oklahoma,2139,52,52,35.5653,-96.9289
1898,Oregon,627,10,10,44.571999999999996,-122.0709
1899,Pennsylvania,3142,141,141,40.5908,-77.2098
1900,Puerto Rico,136,7,7,18.2208,-66.5901
1901,Rhode Island,513,14,14,41.6809,-71.5118
1902,South Carolina,2890,76,76,33.8569,-80.945
1903,South Dakota,208,3,3,44.2998,-99.4388
1904,Tennessee,1856,133,133,35.7478,-86.6923
1905,Texas,17848,420,420,31.0545,-97.5635
1906,Utah,1591,12,12,40.15,-111.8624
1907,Vermont,133,3,3,44.0459,-72.7107
1908,Virgin Islands,4,0,0,18.3358,-64.8963
1909,Virginia,2959,58,58,37.7693,-78.17
1910,Washington,1602,72,72,47.4009,-121.4905
1911,West Virginia,535,27,27,38.4912,-80.9545
1912,Wisconsin,1539,16,16,44.2685,-89.6165
1913,Wyoming,160,0,0,42.756,-107.3025
1914,Alabama,2767,162,162,32.3182,-86.9023
1915,Alaska,184,0,0,61.3707,-152.4044
1916,American Samoa,0,0,0,-14.270999999999999,-170.132
1917,Arizona,4417,176,176,33.7298,-111.4312
1918,Arkansas,2469,24,24,34.9697,-92.3731
1919,California,14640,767,767,36.1162,-119.6816
1920,Colorado,1584,18,18,39.0598,-105.3111
1921,Connecticut,937,28,28,41.5978,-72.7554
1922,Delaware,243,3,3,39.3185,-75.5071
1923,Diamond Princess,0,0,0,,
1924,District of Columbia,166,6,6,38.8974,-77.0268
1925,Florida,7711,228,228,27.7663,-81.6868
1926,Georgia,5706,169,169,33.0406,-83.6431
1927,Grand Princess,0,0,0,,
1928,Guam,4,0,0,13.4443,144.7937
1929,Hawaii,139,2,2,21.0943,-157.4983
1930,Idaho,402,-1,-1,44.2405,-114.4788
1931,Illinois,3328,77,77,40.3495,-88.9861
1932,Indiana,2336,189,189,39.8494,-86.2583
1933,Iowa,908,58,58,42.0115,-93.2105
1934,Kansas,41,0,0,38.5266,-96.7265
1935,Kentucky,2493,58,58,37.6681,-84.6701
1936,Louisiana,2760,38,38,31.1695,-91.8678
1937,Maine,301,3,3,44.6939,-69.3819
1938,Maryland,1554,31,31,39.0639,-76.8021
1939,Massachusetts,2804,76,76,42.2302,-71.5301
1940,Michigan,1885,81,81,43.3266,-84.5361
1941,Minnesota,1410,17,17,45.6945,-93.9002
1942,Mississippi,1210,24,24,32.7416,-89.6787
1943,Missouri,2203,26,26,38.4561,-92.2884
1944,Montana,301,5,5,46.9219,-110.4544
1945,Nebraska,507,21,21,41.1254,-98.2681
1946,Nevada,889,51,51,38.3135,-117.0554
1947,New Hampshire,451,9,9,43.4525,-71.5639
1948,New Jersey,3289,100,100,40.2989,-74.521
1949,New Mexico,559,17,17,34.8405,-106.2485
1950,New York,6970,150,150,42.1657,-74.9481
1951,North Carolina,5495,150,150,35.6301,-79.8064
1952,North Dakota,98,0,0,47.5289,-99.78399999999999
1953,Northern Mariana Islands,0,0,0,15.0979,145.6739
1954,Ohio,4120,70,70,40.3888,-82.7649
1955,Oklahoma,2796,27,27,35.5653,-96.9289
1956,Oregon,715,7,7,44.571999999999996,-122.0709
1957,Pennsylvania,3362,130,130,40.5908,-77.2098
1958,Puerto Rico,322,8,8,18.2208,-66.5901
1959,Rhode Island,587,7,7,41.6809,-71.5118
1960,South Carolina,3084,93,93,33.8569,-80.945
1961,South Dakota,174,6,6,44.2998,-99.4388
1962,Tennessee,3154,169,169,35.7478,-86.6923
1963,Texas,13889,414,414,31.0545,-97.5635
1964,Utah,1273,14,14,40.15,-111.8624
1965,Vermont,174,2,2,44.0459,-72.7107
1966,Virgin Islands,10,0,0,18.3358,-64.8963
1967,Virginia,3059,75,75,37.7693,-78.17
1968,Washington,1584,28,28,47.4009,-121.4905
1969,West Virginia,574,22,22,38.4912,-80.9545
1970,Wisconsin,1719,49,49,44.2685,-89.6165
1971,Wyoming,180,0,0,42.756,-107.3025
1972,Alabama,1496,84,84,32.3182,-86.9023
1973,Alaska,254,0,0,61.3707,-152.4044
1974,American Samoa,0,0,0,-14.270999999999999,-170.132
1975,Arizona,3826,196,196,33.7298,-111.4312
1976,Arkansas,1824,41,41,34.9697,-92.3731
1977,California,13744,618,618,36.1162,-119.6816
1978,Colorado,1903,23,23,39.0598,-105.3111
1979,Connecticut,1431,29,29,41.5978,-72.7554
1980,Delaware,321,4,4,39.3185,-75.5071
1981,Diamond Princess,0,0,0,,
1982,District of Columbia,269,8,8,38.8974,-77.0268
1983,Florida,11543,210,210,27.7663,-81.6868
1984,Georgia,4842,102,102,33.0406,-83.6431
1985,Grand Princess,0,0,0,,
1986,Guam,14,0,0,13.4443,144.7937
1987,Hawaii,148,0,0,21.0943,-157.4983
1988,Idaho,404,11,11,44.2405,-114.4788
1989,Illinois,3660,106,106,40.3495,-88.9861
1990,Indiana,1504,89,89,39.8494,-86.2583
1991,Iowa,581,34,34,42.0115,-93.2105
1992,Kansas,2563,203,203,38.5266,-96.7265
1993,Kentucky,2256,50,50,37.6681,-84.6701
1994,Louisiana,866,32,32,31.1695,-91.8678
1995,Maine,265,2,2,44.6939,-69.3819
1996,Maryland,1547,36,36,39.0639,-76.8021
1997,Massachusetts,3287,75,75,42.2302,-71.5301
1998,Michigan,1754,25,25,43.3266,-84.5361
1999,Minnesota,1048,22,22,45.6945,-93.9002
2000,Mississippi,1210,40,40,32.7416,-89.6787
